university,rows,occurrence_base_rate,severity_base_rate_p75,year_min,year_max
5,163433,0.2640592781139672,0.06198870485152937,2002,2019
3,108006,0.13674240319982223,0.03122974649556506,2006,2019
11,87150,0.28115892139988524,0.06562248995983935,2015,2021
10,58763,0.33856338171978967,0.08244984088627197,2003,2021
1,28273,0.39673893820959927,0.09224348318183426,2012,2019
4,26857,0.5471199314889973,0.11162825334177309,2013,2019
6,25536,0.612625313283208,0.15292136591478697,2017,2019
2,15869,0.3121179658453589,0.07656437078580881,2016,2020
7,1088,0.4375,0.09283088235294118,2015,2019
