target_kind,pctl,layer,model,n_folds,lift_median,lift_q1,lift_q3,lift_min,lift_max,capture_median,prauc_median,frac_folds_meet_2x,frac_folds_beat_rule,frac_folds_sufficient,stable_excl_best_fold,MEETS_SUFFICIENCY
occurrence,75,M0,gbdt,9,2.8787724288262915,2.138925294888598,3.353875035709913,1.6304017321984234,5.3014489991532034,0.2879115355616989,0.8459393958757556,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.75,True
occurrence,75,M0,logreg,9,2.863192480276428,2.1179554390563564,3.3342855976819163,1.629762609606421,5.429415009477591,0.28635335511435034,0.8373936900563954,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.75,True
occurrence,75,M1,gbdt,9,2.8792750078117706,2.1598951507208386,3.3563237154634127,1.6304017321984234,5.314990375907107,0.28796179944709727,0.8457496714449741,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.75,True
occurrence,75,M1,logreg,9,2.87073116505862,2.1598951507208386,3.3346937109741663,1.6304017321984234,5.403686393645174,0.28710731339532547,0.8381838086929242,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.75,True
occurrence,75,M1_nosys,gbdt,9,2.8868136925939623,2.138925294888598,3.353875035709913,1.6316799773824286,5.288584691236996,0.2887157577280724,0.8470236195913441,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.75,True
occurrence,75,M1_nosys,logreg,9,2.865202796218346,2.138925294888598,3.3338774843896664,1.6304017321984234,5.420613114587554,0.2865544106559437,0.835948640751484,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.75,True
severity_labour,50,M0,gbdt,9,4.445638265426956,3.6705908921732617,5.362635534407968,2.1946052809166923,6.345706962634511,0.4446738943383239,0.6854710037085087,1.0,0.5555555555555556,0.5555555555555556,1.0,True
severity_labour,50,M0,logreg,9,4.440476920691553,3.6690791166822514,5.604378243472228,1.956203033516205,6.819431614358962,0.4441576320770952,0.7011004497053972,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.875,True
severity_labour,50,M1,gbdt,9,4.4766063338393725,3.8640981550225937,5.568564508796041,2.224729051425843,6.483417617205572,0.4477714679056961,0.7153136939482897,1.0,0.7777777777777778,0.7777777777777778,1.0,True
severity_labour,50,M1,logreg,9,4.443917817181822,3.682685096101345,5.64113444485042,2.2061231931701912,6.843301461151278,0.4445018069179143,0.7011209776597556,1.0,0.6666666666666666,0.6666666666666666,1.0,True
severity_labour,50,M1_nosys,gbdt,9,4.4800472303296415,3.880727685423708,5.573748075657068,2.2194130919242285,6.376921377670618,0.4481156427465152,0.713733697343498,1.0,0.8888888888888888,0.8888888888888888,1.0,True
severity_labour,50,M1_nosys,logreg,9,4.419831541749942,3.684196871592355,5.609090576982252,2.2052371999199223,6.650506544751794,0.44209258303218035,0.6996868101787813,1.0,0.6666666666666666,0.6666666666666666,1.0,True
severity_labour,75,M0,gbdt,9,5.905887302427415,4.653055784476842,6.092121535308256,2.8519003931847973,7.444399514759401,0.5906140257528999,0.4941047322483822,1.0,0.3333333333333333,0.3333333333333333,1.0,False
severity_labour,75,M0,logreg,9,5.996724784385331,4.617805361867169,6.345370447635077,1.9963302752293581,7.34735139506672,0.5998209489704566,0.516511604425543,0.8888888888888888,0.5555555555555556,0.5555555555555556,0.875,True
severity_labour,75,M1,gbdt,9,6.133963262037931,4.841058038395098,6.427204046330856,3.004764930895792,7.541447634452082,0.6135481945687854,0.5168885260167333,1.0,0.7777777777777778,0.7777777777777778,1.0,True
severity_labour,75,M1,logreg,9,6.050426797379828,4.606055220997278,6.5496822245839175,2.138925294888598,7.379700768297614,0.6051924798567592,0.5459526265307313,1.0,0.6666666666666666,0.6666666666666666,1.0,True
severity_labour,75,M1_nosys,gbdt,9,6.116062591039767,4.758807052305861,6.347179880616383,3.0021475398410047,7.561665992721391,0.6117576842733512,0.5162476392526234,1.0,0.7777777777777778,0.7777777777777778,1.0,True
severity_labour,75,M1_nosys,logreg,9,5.916171764893589,4.653055784476842,6.3687811720771315,2.8519003931847973,7.262434290335625,0.5917636526410027,0.5306050918412021,1.0,0.4444444444444444,0.4444444444444444,1.0,False
severity_labour,90,M0,gbdt,9,5.952747846261946,4.7330974363145835,6.6923846040806225,3.3272171253822633,7.32418524871355,0.59534127843987,0.35132613395574,1.0,0.3333333333333333,0.3333333333333333,1.0,False
severity_labour,90,M0,logreg,9,6.188968199214443,4.854698753848358,7.044615372716445,3.3272171253822633,7.341337907375643,0.6189233278955955,0.36923000041898457,1.0,0.3333333333333333,0.3333333333333333,1.0,False
severity_labour,90,M1,gbdt,9,6.733806200937591,5.341104023983454,7.1809627670270855,1.996330275229358,7.530017152658662,0.6734094616639478,0.40469325902190906,0.8888888888888888,0.5555555555555556,0.5555555555555556,0.875,True
severity_labour,90,M1,logreg,9,6.817401408502955,5.17273296893669,7.305947878478507,3.3272171253822633,7.495711835334477,0.6817653890824622,0.36366624501823935,1.0,0.4444444444444444,0.4444444444444444,1.0,False
severity_labour,90,M1_nosys,gbdt,9,6.6522436258293345,5.331750076480855,7.141194777019815,1.3308868501529054,7.495711835334477,0.665252854812398,0.40264272798771117,0.8888888888888888,0.5555555555555556,0.5555555555555556,0.875,True
severity_labour,90,M1_nosys,logreg,9,6.449968439560861,5.247564548957473,7.033253089857224,2.661773700305811,7.512864493996569,0.6450244698205546,0.3459314532204188,1.0,0.3333333333333333,0.3333333333333333,1.0,False
