regime,layer,n,n_pos,base_rate,prec_top5,prec_top10,recall_top10,lift_top5,lift_top10,capture_top10,pr_auc,roc_auc,brier,model,target,pctl,n_train,train_base_rate,lift_top10_ci_lo,lift_top10_ci_hi,capture_top10_ci_lo,capture_top10_ci_hi,held_out_university
temporal,M1,107531,7080,0.0658414782713822,0.6445973591221871,0.46419936767714337,0.7050847457627119,9.790141048554789,7.050257373685156,0.7050847457627119,0.5984148974791903,0.9272626288770978,0.10116012050896067,gbdt,severity_labour,75,407444,0.06718223854075651,5.2823432252855,7.504650753090204,0.5282740704387231,0.7505071420602387,
temporal,M2,107531,7080,0.0658414782713822,0.6466431095406361,0.46345545843407104,0.703954802259887,9.82121189435228,7.038958884304251,0.703954802259887,0.5987252211033388,0.9276220643204234,0.09994027711817421,gbdt,severity_labour,75,407444,0.06718223854075651,5.28504244332892,7.478531247217573,0.5285440566114147,0.747866581658244,
louo,M1,28273,3351,0.11852297244721112,0.9073550212164073,0.727015558698727,0.6135481945687854,7.655520296881971,6.133963262037931,0.6135481945687854,0.745496765486023,0.9225825279138294,0.11481932918653824,gbdt,severity_labour,75,486702,0.06684788638633085,5.67444379758702,6.542145542518942,0.5675415952884926,0.6543538586653752,1
louo,M2,28273,3351,0.11852297244721112,0.8981612446958982,0.7273691654879774,0.6138466129513578,7.577950722556589,6.1369467072042925,0.6138466129513578,0.7440347420670798,0.9221948486439733,0.11570403294322869,gbdt,severity_labour,75,486702,0.06684788638633085,5.661576693910441,6.57129255716708,0.5661611272551789,0.6572691862467072,1
louo,M1,15869,1702,0.10725313504316591,0.6662468513853904,0.5192186515437933,0.48413631022326675,6.211910272993396,4.841058038395098,0.48413631022326675,0.5168885260167333,0.8530283216395461,0.11801631519142826,gbdt,severity_labour,75,499106,0.06780723934394697,4.484131208106553,5.144098390813143,0.44859081904169334,0.514638940068025,2
louo,M2,15869,1702,0.10725313504316591,0.6649874055415617,0.5179584120982986,0.48296122209165687,6.200167531456547,4.829307897525206,0.48296122209165687,0.5165435877288785,0.8533923069923759,0.12233707959398256,gbdt,severity_labour,75,499106,0.06780723934394697,4.492995265774626,5.2014243914702885,0.4495279828530602,0.5203793532338309,2
louo,M1,108006,2339,0.021656204284947134,0.22384743566006296,0.14035737431719286,0.6481402308678923,10.33641134497681,6.481162278966537,0.6481402308678923,0.27644618222000045,0.8763121481528889,0.029058893185272945,gbdt,severity_labour,75,406969,0.07835240522005361,5.97177189559719,6.850131178360951,0.5972209642393357,0.6850248363268221,3
louo,M2,108006,2339,0.021656204284947134,0.2219959266802444,0.13933895009721323,0.6434373663958957,10.250915800353345,6.434135375886965,0.6434373663958957,0.2731188413555475,0.8763503225603915,0.030342478896023484,gbdt,severity_labour,75,406969,0.07835240522005361,5.962537721128189,6.86461519968451,0.5962985293422235,0.6864750972167818,3
louo,M1,26857,3860,0.14372416874557845,0.9151154132539091,0.7866716306775875,0.5474093264248705,6.3671644180725995,5.473481861426934,0.5474093264248705,0.7523738303333337,0.923699379801961,0.1401640400970055,gbdt,severity_labour,75,488118,0.06569518026378868,4.963930864746888,6.076759920384526,0.4965257745387079,0.6078712567943597,4
louo,M2,26857,3860,0.14372416874557845,0.9106478034251675,0.7848101265822784,0.5461139896373057,6.336079807406664,5.460529940316127,0.5461139896373057,0.7448729838903241,0.9218076428531679,0.13092961079097745,gbdt,severity_labour,75,488118,0.06569518026378868,4.9146936544125905,5.990428354865968,0.491541548060794,0.5991985904872305,4
louo,M1,163433,9397,0.057497567810662474,0.5243514439549681,0.3578071463534019,0.6223262743428754,9.11954129401855,6.222996206233429,0.6223262743428754,0.49622309887814403,0.8898217546764491,0.06230670037120536,gbdt,severity_labour,75,351542,0.07074830318994602,5.983459659188059,6.489595574118293,0.5983703231124962,0.6489763511726719,5
louo,M2,163433,9397,0.057497567810662474,0.51431718061674,0.35156632403328436,0.6114717463020113,8.945024984541414,6.114455574729356,0.6114717463020113,0.486251317900065,0.8892693594459231,0.06178883872476365,gbdt,severity_labour,75,351542,0.07074830318994602,5.895163856367564,6.388967059948915,0.5895271719759354,0.638932189177308,5
louo,M1,25536,7640,0.2991854636591479,0.9537979639780736,0.898981989036805,0.30052356020942406,3.1879823047309013,3.004764930895792,0.30052356020942406,0.7608056589428611,0.8682523822925712,0.22421976847976308,gbdt,severity_labour,75,489439,0.06344202239707093,2.843960204137311,3.2140376368285684,0.2844403299864552,0.32146597269067795,6
louo,M2,25536,7640,0.2991854636591479,0.9498825371965545,0.9005481597494127,0.3010471204188482,3.174895349456965,3.009999713005367,0.3010471204188482,0.7609695140569561,0.8679404213290518,0.2237075349897668,gbdt,severity_labour,75,489439,0.06344202239707093,2.8431249637874507,3.2221859862431415,0.28433582029997806,0.32229223789106937,6
