regime,held_out_university,target_kind,pctl,layer,model,best_rule_name,best_rule_lift_top10,beats_best_rule,meets_2x,sufficient,n,n_pos,base_rate,prec_top5,prec_top10,recall_top10,lift_top5,lift_top10,capture_top10,pr_auc,roc_auc,brier,target,n_train,train_base_rate,lift_top10_ci_lo,lift_top10_ci_hi,capture_top10_ci_lo,capture_top10_ci_hi,lift_rule_upm_count_prevyear,lift_rule_upm_cost_prevyear,lift_rule_upm_labour_prevyear,lift_rule_trend_up_ppm_down
louo,1,occurrence,75,M0,gbdt,rule_upm_count_prevyear,2.4982670839964443,True,True,True,28273,11217,0.39673893820959927,0.9957567185289957,0.9918670438472419,0.2500668627975394,2.5098537668690644,2.5000496505922323,0.2500668627975394,0.8684156054534378,0.8898012003649312,0.13812473683623117,occurrence,486702,0.2837259760592724,2.3297354101017964,2.6694084926702293,0.23302857024244866,0.26695225391141225,2.4982670839964443,2.4002259212281216,2.433203403250194,2.050842868453735
louo,1,occurrence,75,M0,logreg,rule_upm_count_prevyear,2.4982670839964443,False,True,False,28273,11217,0.39673893820959927,0.9964639321074965,0.9911598302687411,0.24988856200410092,2.5116363334648524,2.4982670839964443,0.24988856200410092,0.8622185584956052,0.8827569260491606,0.14013566629753832,occurrence,486702,0.2837259760592724,2.3273257497780593,2.6744644622716898,0.23278885702569446,0.2674578710469391,2.4982670839964443,2.4002259212281216,2.433203403250194,2.050842868453735
louo,1,occurrence,75,M1,gbdt,rule_upm_count_prevyear,2.4982670839964443,True,True,True,28273,11217,0.39673893820959927,0.9964639321074965,0.9925742574257426,0.250245163590978,2.5116363334648524,2.50183221718802,0.250245163590978,0.8683385396119383,0.8898605808223614,0.13746964289139202,occurrence,486702,0.2837259760592724,2.329251034926166,2.6754653481868904,0.23294113318190124,0.26755796343991717,2.4982670839964443,2.4002259212281216,2.433203403250194,2.050842868453735
louo,1,occurrence,75,M1,logreg,rule_upm_count_prevyear,2.4982670839964443,False,True,False,28273,11217,0.39673893820959927,0.9964639321074965,0.9911598302687411,0.24988856200410092,2.5116363334648524,2.4982670839964443,0.24988856200410092,0.8625689208137882,0.8829898717078959,0.14009123188572883,occurrence,486702,0.2837259760592724,2.3275928208622534,2.6745417723098814,0.23282537143917734,0.2674656038028933,2.4982670839964443,2.4002259212281216,2.433203403250194,2.050842868453735
louo,1,occurrence,75,M1_nosys,gbdt,rule_upm_count_prevyear,2.4982670839964443,True,True,True,28273,11217,0.39673893820959927,0.9957567185289957,0.9918670438472419,0.2500668627975394,2.5098537668690644,2.5000496505922323,0.2500668627975394,0.8680288290271357,0.8894942702262262,0.137781595082197,occurrence,486702,0.2837259760592724,2.3296747708976295,2.674335612208037,0.23302381565690983,0.2674449831203487,2.4982670839964443,2.4002259212281216,2.433203403250194,2.050842868453735
louo,1,occurrence,75,M1_nosys,logreg,rule_upm_count_prevyear,2.4982670839964443,True,True,True,28273,11217,0.39673893820959927,0.9957567185289957,0.9915134370579916,0.24997771240082017,2.5098537668690644,2.4991583672943385,0.24997771240082017,0.859413846794187,0.8790328532592833,0.14242173397945168,occurrence,486702,0.2837259760592724,2.3275739327703047,2.671259509953117,0.2328234825083122,0.2671274747687471,2.4982670839964443,2.4002259212281216,2.433203403250194,2.050842868453735
louo,1,severity_labour,75,M0,gbdt,rule_upm_count_prevyear,5.829651855069124,True,True,True,28273,3351,0.11852297244721112,0.888967468175389,0.7118104667609618,0.6007162041181737,7.500381148231206,6.0056751198844145,0.6007162041181737,0.7239644941201804,0.9159571895947706,0.12172478352157892,severity_labour,486702,0.06684788638633085,5.476076391973854,6.467871627726907,0.5477362949205252,0.6467908333053212,5.829651855069124,5.531307338433038,5.632744474089306,3.508531515640373
louo,1,severity_labour,75,M0,logreg,rule_upm_count_prevyear,5.829651855069124,True,True,True,28273,3351,0.11852297244721112,0.8826025459688827,0.7107496463932107,0.5998209489704566,7.446679135236711,5.996724784385331,0.5998209489704566,0.7122078737776453,0.9094450364037618,0.13690434656133324,severity_labour,486702,0.06684788638633085,5.4450290662148495,6.428467777127399,0.5445972581995999,0.6429752961468064,5.829651855069124,5.531307338433038,5.632744474089306,3.508531515640373
louo,1,severity_labour,75,M1,gbdt,rule_upm_count_prevyear,5.829651855069124,True,True,True,28273,3351,0.11852297244721112,0.9073550212164073,0.727015558698727,0.6135481945687854,7.655520296881971,6.133963262037931,0.6135481945687854,0.745496765486023,0.9225825279138294,0.11481932918653824,severity_labour,486702,0.06684788638633085,5.585536375100014,6.603443192504628,0.558686165335387,0.6605303254781657,5.829651855069124,5.531307338433038,5.632744474089306,3.508531515640373
louo,1,severity_labour,75,M1,logreg,rule_upm_count_prevyear,5.829651855069124,True,True,True,28273,3351,0.11852297244721112,0.8854314002828855,0.7171145685997171,0.6051924798567592,7.470546696567598,6.050426797379828,0.6051924798567592,0.7178977600155262,0.9119306368965772,0.13255336803516338,severity_labour,486702,0.06684788638633085,5.499785753696498,6.488423908952069,0.5499809460440359,0.6490554571817179,5.829651855069124,5.531307338433038,5.632744474089306,3.508531515640373
louo,1,severity_labour,75,M1_nosys,gbdt,rule_upm_count_prevyear,5.829651855069124,True,True,True,28273,3351,0.11852297244721112,0.9052333804809052,0.7248939179632249,0.6117576842733512,7.637619625883805,6.116062591039767,0.6117576842733512,0.7448314826141784,0.9232780372045173,0.11603490417940875,severity_labour,486702,0.06684788638633085,5.607753096687128,6.638044365882246,0.5608696854615997,0.6639921047028706,5.829651855069124,5.531307338433038,5.632744474089306,3.508531515640373
louo,1,severity_labour,75,M1_nosys,logreg,rule_upm_count_prevyear,5.829651855069124,True,True,True,28273,3351,0.11852297244721112,0.8734087694483734,0.7012022630834512,0.5917636526410027,7.369109560911329,5.916171764893589,0.5917636526410027,0.7087454223060992,0.9119558663136417,0.13497132128997844,severity_labour,486702,0.06684788638633085,5.4025245273604,6.369009408140421,0.5403583939598415,0.6371100867400621,5.829651855069124,5.531307338433038,5.632744474089306,3.508531515640373
louo,1,severity_labour,50,M0,gbdt,rule_upm_count_prevyear,4.368218094395914,True,True,True,28273,5811,0.20553177943621123,0.9837340876944838,0.9137199434229137,0.4446738943383239,4.7862870179635415,4.445638265426956,0.4446738943383239,0.794424410670545,0.9078697794524493,0.12865082250347307,severity_labour,486702,0.13225546638394747,4.0105343035207275,4.878759071258297,0.40106862088015116,0.4879788739574398,4.368218094395914,4.075741892723087,4.1720869944506065,2.8989552930512463
louo,1,severity_labour,50,M0,logreg,rule_upm_count_prevyear,4.368218094395914,True,True,True,28273,5811,0.20553177943621123,0.9759547383309759,0.9126591230551626,0.4441576320770952,4.748437156570587,4.440476920691553,0.4441576320770952,0.7833252215716427,0.9001355868373334,0.13542782266739975,severity_labour,486702,0.13225546638394747,4.013511751934949,4.8549185065078335,0.4013657214935203,0.48565230596418757,4.368218094395914,4.075741892723087,4.1720869944506065,2.8989552930512463
louo,1,severity_labour,50,M1,gbdt,rule_upm_count_prevyear,4.368218094395914,True,True,True,28273,5811,0.20553177943621123,0.9844413012729845,0.92008486562942,0.4477714679056961,4.78972791445381,4.4766063338393725,0.4477714679056961,0.8032287090483086,0.9116722816872032,0.12618976366680681,severity_labour,486702,0.13225546638394747,4.043020610367041,4.925348467385446,0.40430313989042205,0.49269580666373075,4.368218094395914,4.075741892723087,4.1720869944506065,2.8989552930512463
louo,1,severity_labour,50,M1,logreg,rule_upm_count_prevyear,4.368218094395914,True,True,True,28273,5811,0.20553177943621123,0.9787835926449788,0.9133663366336634,0.4445018069179143,4.762200742531662,4.443917817181822,0.4445018069179143,0.7850214850482321,0.9010753257330175,0.13375002135904504,severity_labour,486702,0.13225546638394747,4.023796115047569,4.85711857770801,0.4023964268319514,0.48587263347590104,4.368218094395914,4.075741892723087,4.1720869944506065,2.8989552930512463
louo,1,severity_labour,50,M1_nosys,gbdt,rule_upm_count_prevyear,4.368218094395914,True,True,True,28273,5811,0.20553177943621123,0.9837340876944838,0.9207920792079208,0.4481156427465152,4.7862870179635415,4.4800472303296415,0.4481156427465152,0.802588748941283,0.9114254356055722,0.12713150671735485,severity_labour,486702,0.13225546638394747,4.055481288687593,4.899730400994567,0.40561956239758934,0.49007597701266237,4.368218094395914,4.075741892723087,4.1720869944506065,2.8989552930512463
louo,1,severity_labour,50,M1_nosys,logreg,rule_upm_count_prevyear,4.368218094395914,True,True,True,28273,5811,0.20553177943621123,0.9745403111739745,0.9084158415841584,0.44209258303218035,4.7415553635900505,4.419831541749942,0.44209258303218035,0.7821481933671669,0.9004867296021514,0.13406679388480106,severity_labour,486702,0.13225546638394747,4.004515364849051,4.792864430424264,0.40052204556452764,0.4793918794456184,4.368218094395914,4.075741892723087,4.1720869944506065,2.8989552930512463
louo,1,severity_labour,90,M0,gbdt,rule_upm_count_prevyear,6.903661593780861,True,True,True,28273,1564,0.05531779436211226,0.5735502121640735,0.3939179632248939,0.7122762148337596,10.368276949178293,7.120999088399889,0.7122762148337596,0.5721402548140878,0.9177135541254091,0.10698100839268297,severity_labour,486702,0.02693640050790833,6.595036418980849,7.499874604883442,0.6597221034258123,0.7500376960193004,6.903661593780861,6.88448475602036,6.858915639006357,3.975997695677496
louo,1,severity_labour,90,M0,logreg,rule_upm_count_prevyear,6.903661593780861,True,True,True,28273,1564,0.05531779436211226,0.5862800565770863,0.3953323903818953,0.7148337595907929,10.598399002304323,7.146568205413892,0.7148337595907929,0.5857003525473883,0.915980240383736,0.14744794660790678,severity_labour,486702,0.02693640050790833,6.681503989460372,7.523383357110504,0.6683690206967624,0.7524419185887057,6.903661593780861,6.88448475602036,6.858915639006357,3.975997695677496
