regime,split,target_kind,pctl,layer,model,best_rule_name,best_rule_lift_top10,beats_best_rule,meets_2x,sufficient,n,n_pos,base_rate,prec_top5,prec_top10,recall_top10,lift_top5,lift_top10,capture_top10,pr_auc,roc_auc,brier,target,n_train,train_base_rate,lift_top10_ci_lo,lift_top10_ci_hi,capture_top10_ci_lo,capture_top10_ci_hi,lift_rule_upm_count_prevyear,lift_rule_upm_cost_prevyear,lift_rule_upm_labour_prevyear,lift_rule_trend_up_ppm_down
temporal,train<=2018_test>=2019,occurrence,75,M0,gbdt,rule_upm_count_prevyear,3.181806173907988,True,True,True,107531,32174,0.29920674038184336,0.9823321554770318,0.9563883206248838,0.3196680549512028,3.2831217445950367,3.1964130199886363,0.3196680549512028,0.8423190282588461,0.9114849509121645,0.13020876651572266,occurrence,407444,0.28748245157616753,2.4470319872283195,3.672289236385955,0.244714274510725,0.3672310884850097,3.181806173907988,2.611828392803549,3.004037749266909,2.1599485161809455
temporal,train<=2018_test>=2019,occurrence,75,M0,logreg,rule_upm_count_prevyear,3.181806173907988,True,True,True,107531,32174,0.29920674038184336,0.9815882462339595,0.9546215361725869,0.31907751600671347,3.280635472921735,3.1905081247645444,0.31907751600671347,0.8382581196241115,0.9087710987855038,0.1312406311937433,occurrence,407444,0.28748245157616753,2.4393584437681297,3.6584708016811747,0.24394688520325436,0.3658824337816688,3.181806173907988,2.611828392803549,3.004037749266909,2.1599485161809455
temporal,train<=2018_test>=2019,occurrence,75,M1,gbdt,rule_upm_count_prevyear,3.181806173907988,True,True,True,107531,32174,0.29920674038184336,0.982704110098568,0.9567602752464199,0.3197923789395164,3.2843648804316876,3.197656155825287,0.3197923789395164,0.8430163752544403,0.912039181674092,0.12994242730574018,occurrence,407444,0.28748245157616753,2.4489766947158866,3.6699534048371465,0.24490875399984469,0.36699750323348895,3.181806173907988,2.611828392803549,3.004037749266909,2.1599485161809455
temporal,train<=2018_test>=2019,occurrence,75,M1,logreg,rule_upm_count_prevyear,3.181806173907988,True,True,True,107531,32174,0.29920674038184336,0.9821461781662637,0.9553654454156593,0.31932616398334057,3.2825001766767112,3.192994396437846,0.31932616398334057,0.8384313853927788,0.9088536485972034,0.1312089869730421,occurrence,407444,0.28748245157616753,2.43975735977523,3.660028029078704,0.24398677855203693,0.3660378181787708,3.181806173907988,2.611828392803549,3.004037749266909,2.1599485161809455
temporal,train<=2018_test>=2019,occurrence,75,M1_nosys,gbdt,rule_upm_count_prevyear,3.181806173907988,True,True,True,107531,32174,0.29920674038184336,0.9832620420308722,0.9559233773479635,0.3195126499658109,3.286229584186664,3.1948591001928226,0.3195126499658109,0.8428569130967231,0.9119268740050173,0.12988720515241478,occurrence,407444,0.28748245157616753,2.448865866831591,3.6755007589946525,0.24489767121141512,0.3675696159331542,3.181806173907988,2.611828392803549,3.004037749266909,2.1599485161809455
temporal,train<=2018_test>=2019,occurrence,75,M1_nosys,logreg,rule_upm_count_prevyear,3.181806173907988,True,True,True,107531,32174,0.29920674038184336,0.9821461781662637,0.954807513483355,0.3191396780008703,3.2825001766767112,3.19112969268287,0.3191396780008703,0.8383182357397755,0.9085721423763091,0.13160512247779216,occurrence,407444,0.28748245157616753,2.438593860119218,3.6586980471541586,0.24387042334221803,0.36588702642313575,3.181806173907988,2.611828392803549,3.004037749266909,2.1599485161809455
temporal,train<=2018_test>=2019,severity_labour,75,M0,gbdt,rule_upm_count_prevyear,6.560185396788372,True,True,True,107531,7080,0.0658414782713822,0.6161428305746699,0.4411381811419007,0.6700564971751413,9.357973829735146,6.700004202877079,0.6700564971751413,0.558792507137243,0.9164750196950735,0.10527662171553953,severity_labour,407444,0.06718223854075651,5.008823372505592,7.256167197399177,0.5009060215586668,0.72563203896099,6.560185396788372,3.535014865050871,6.523465306300428,2.988450441249557
temporal,train<=2018_test>=2019,severity_labour,75,M0,logreg,rule_upm_count_prevyear,6.560185396788372,True,True,True,107531,7080,0.0658414782713822,0.5908499163102101,0.4357448391296262,0.661864406779661,8.973825190784352,6.618090154865514,0.661864406779661,0.5393844179580757,0.9131473368666636,0.14019002158571486,severity_labour,407444,0.06718223854075651,4.9328851524343555,7.3067551860368605,0.4933899369842929,0.7307107267268674,6.560185396788372,3.535014865050871,6.523465306300428,2.988450441249557
temporal,train<=2018_test>=2019,severity_labour,75,M1,gbdt,rule_upm_count_prevyear,6.560185396788372,True,True,True,107531,7080,0.0658414782713822,0.6445973591221871,0.46419936767714337,0.7050847457627119,9.790141048554789,7.050257373685156,0.7050847457627119,0.5984148974791903,0.9272626288770978,0.10116012050896067,severity_labour,407444,0.06718223854075651,5.272366169419282,7.4985761243709215,0.5272604711191857,0.7499050424492821,6.560185396788372,3.535014865050871,6.523465306300428,2.988450441249557
temporal,train<=2018_test>=2019,severity_labour,75,M1,logreg,rule_upm_count_prevyear,6.560185396788372,True,True,True,107531,7080,0.0658414782713822,0.607773851590106,0.44801934164031987,0.6805084745762712,9.230865824199956,6.804515229650457,0.6805084745762712,0.5532516058945858,0.9184786591286855,0.1339690366544432,severity_labour,407444,0.06718223854075651,4.96107523415213,7.38291572615507,0.4961080984137865,0.7383667067200108,6.560185396788372,3.535014865050871,6.523465306300428,2.988450441249557
temporal,train<=2018_test>=2019,severity_labour,75,M1_nosys,gbdt,rule_upm_count_prevyear,6.560185396788372,True,True,True,107531,7080,0.0658414782713822,0.6382741305560722,0.4644783336432955,0.7055084745762712,9.694103888817091,7.0544943072029955,0.7055084745762712,0.5977568401981853,0.9268617011852814,0.10087735939865182,severity_labour,407444,0.06718223854075651,5.21882178356137,7.494436440057164,0.5218828041072976,0.7494645082178403,6.560185396788372,3.535014865050871,6.523465306300428,2.988450441249557
temporal,train<=2018_test>=2019,severity_labour,75,M1_nosys,logreg,rule_upm_count_prevyear,6.560185396788372,True,True,True,107531,7080,0.0658414782713822,0.6010786684024549,0.4416031244188209,0.6707627118644067,9.129179419771805,6.707065758740145,0.6707627118644067,0.5446499936506883,0.915561922368536,0.1325080903713344,severity_labour,407444,0.06718223854075651,4.918595413660792,7.247846927156063,0.49188179256056047,0.7247918672332649,6.560185396788372,3.535014865050871,6.523465306300428,2.988450441249557
temporal,train<=2018_test>=2019,severity_labour,50,M0,gbdt,rule_upm_count_prevyear,5.339669779512742,True,True,True,107531,14054,0.1306971942974584,0.8474986051701693,0.7068067695741119,0.5408424647787107,6.484443753561511,5.407972017864937,0.5408424647787107,0.6833225704049811,0.9102496017285215,0.12950776123208083,severity_labour,407444,0.13362817957805245,3.918137541583829,5.986820305445782,0.3918459540937446,0.5986995200506693,5.339669779512742,3.3823837617326555,5.144012325899684,2.756279910170868
temporal,train<=2018_test>=2019,severity_labour,50,M0,logreg,rule_upm_count_prevyear,5.339669779512742,True,True,True,107531,14054,0.1306971942974584,0.8337362841733309,0.704761019155663,0.5392770741425928,6.37914446943521,5.392319421575893,0.5392770741425928,0.6792648841074259,0.9085291109896926,0.1425529454620558,severity_labour,407444,0.13362817957805245,3.9063778139932235,5.964094157156451,0.3906698841746175,0.5964381536002018,5.339669779512742,3.3823837617326555,5.144012325899684,2.756279910170868
temporal,train<=2018_test>=2019,severity_labour,50,M1,gbdt,rule_upm_count_prevyear,5.339669779512742,True,True,True,107531,14054,0.1306971942974584,0.8579133345731821,0.7259624325832248,0.5555002134623594,6.564129698305738,5.554537237662355,0.5555002134623594,0.705087932014581,0.9158458549459301,0.12376447744735489,severity_labour,407444,0.13362817957805245,3.9713851664305944,6.1141978152369285,0.39715842255926403,0.6114495562387778,5.339669779512742,3.3823837617326555,5.144012325899684,2.756279910170868
temporal,train<=2018_test>=2019,severity_labour,50,M1,logreg,rule_upm_count_prevyear,5.339669779512742,True,True,True,107531,14054,0.1306971942974584,0.8346661707271713,0.7081086107494886,0.5418386224562403,6.3862592859302305,5.417932760957966,0.5418386224562403,0.6833440884316697,0.9100417048380656,0.14032606928589028,severity_labour,407444,0.13362817957805245,3.911201467184498,5.996207568710555,0.391153092237149,0.5996503299974638,5.339669779512742,3.3823837617326555,5.144012325899684,2.756279910170868
temporal,train<=2018_test>=2019,severity_labour,50,M1_nosys,gbdt,rule_upm_count_prevyear,5.339669779512742,True,True,True,107531,14054,0.1306971942974584,0.8594011530593267,0.7245676027524642,0.5544329016650064,6.57551340469777,5.5438650129198255,0.5544329016650064,0.7051889840567936,0.9155188232215509,0.12272688406435321,severity_labour,407444,0.13362817957805245,3.9757184008970645,6.11963391172157,0.39759176763674864,0.6119861035230153,5.339669779512742,3.3823837617326555,5.144012325899684,2.756279910170868
temporal,train<=2018_test>=2019,severity_labour,50,M1_nosys,logreg,rule_upm_count_prevyear,5.339669779512742,True,True,True,107531,14054,0.1306971942974584,0.8365259438348521,0.7022503254602939,0.5373559129073573,6.400488918920271,5.3731094170393385,0.5373559129073573,0.6800832782505047,0.909623402162143,0.13925001351563435,severity_labour,407444,0.13362817957805245,3.9000836828961125,5.929480714293351,0.3900404194243166,0.5929815303625251,5.339669779512742,3.3823837617326555,5.144012325899684,2.756279910170868
temporal,train<=2018_test>=2019,severity_labour,90,M0,gbdt,rule_upm_labour_prevyear,7.603670461221228,False,True,False,107531,2972,0.0276385414438627,0.3312255904779617,0.20866654268179283,0.7550471063257066,11.984192116314166,7.549839165920547,0.7550471063257066,0.39816174624658424,0.9214942874152064,0.07592981463568453,severity_labour,407444,0.027159560577649934,6.054835079870431,7.977952007998071,0.6055469462086797,0.7978635648301705,7.341242896630407,3.7244527436158843,7.603670461221228,3.2063265263468272
temporal,train<=2018_test>=2019,severity_labour,90,M0,logreg,rule_upm_labour_prevyear,7.603670461221228,False,True,False,107531,2972,0.0276385414438627,0.3157894736842105,0.20531895108796727,0.7429340511440108,11.425692427569597,7.428718751494014,0.7429340511440108,0.3699693255328134,0.9131551661373076,0.13391551667009646,severity_labour,407444,0.027159560577649934,5.962745247572749,8.049441800170698,0.5963027244136737,0.8049737486889539,7.341242896630407,3.7244527436158843,7.603670461221228,3.2063265263468272
temporal,train<=2018_test>=2019,severity_labour,90,M1,gbdt,rule_upm_labour_prevyear,7.603670461221228,True,True,True,107531,2972,0.0276385414438627,0.3527989585270597,0.22084805653710246,0.7991251682368775,12.764745898174045,7.990582896194874,0.7991251682368775,0.4548565192630357,0.9339190600650915,0.07240078950363184,severity_labour,407444,0.027159560577649934,6.504485186648247,8.281956745683072,0.6504792849186651,0.8282694066868518,7.341242896630407,3.7244527436158843,7.603670461221228,3.2063265263468272
temporal,train<=2018_test>=2019,severity_labour,90,M1,logreg,rule_upm_labour_prevyear,7.603670461221228,True,True,True,107531,2972,0.0276385414438627,0.3395945694625256,0.21712851032174074,0.7856662180349933,12.286993152380498,7.8560046579431715,0.7856662180349933,0.3969525113437519,0.9237125816914024,0.11948922842307386,severity_labour,407444,0.027159560577649934,6.2166619210922125,8.271041381367588,0.6216969857730565,0.8271877243639769,7.341242896630407,3.7244527436158843,7.603670461221228,3.2063265263468272
temporal,train<=2018_test>=2019,severity_labour,90,M1_nosys,gbdt,rule_upm_labour_prevyear,7.603670461221228,True,True,True,107531,2972,0.0276385414438627,0.3529849358378278,0.22056909057095034,0.7981157469717362,12.77147481008663,7.980489528325997,0.7981157469717362,0.45770760765758534,0.9339461671211615,0.07237680881194464,severity_labour,407444,0.027159560577649934,6.533298310901834,8.325104076430081,0.6533621841604899,0.832510823340102,7.341242896630407,3.7244527436158843,7.603670461221228,3.2063265263468272
temporal,train<=2018_test>=2019,severity_labour,90,M1_nosys,logreg,rule_upm_labour_prevyear,7.603670461221228,True,True,True,107531,2972,0.0276385414438627,0.3293658173702808,0.21238608889715455,0.7685060565275909,11.916902997188313,7.68441740417225,0.7685060565275909,0.38633120782183017,0.923064984194271,0.11786783353696278,severity_labour,407444,0.027159560577649934,6.045797356900454,8.103006866766941,0.6045804612759752,0.8103287413378173,7.341242896630407,3.7244527436158843,7.603670461221228,3.2063265263468272
