regime,held_out_university,cost_pos_share,target_kind,pctl,layer,model,best_rule_name,best_rule_lift_top10,beats_best_rule,meets_2x,sufficient,n,n_pos,base_rate,prec_top5,prec_top10,recall_top10,lift_top5,lift_top10,capture_top10,pr_auc,roc_auc,brier,target,n_train,train_base_rate,lift_top10_ci_lo,lift_top10_ci_hi,capture_top10_ci_lo,capture_top10_ci_hi,lift_rule_upm_count_prevyear,lift_rule_upm_cost_prevyear,lift_rule_upm_labour_prevyear,lift_rule_trend_up_ppm_down
louo_cost,1,0.4151310437519895,severity_cost,75,M1,gbdt,rule_upm_count_prevyear,4.664599605973106,True,True,True,28273,5116,0.18095002299013194,0.9660537482319661,0.8727015558698727,0.48240813135261923,5.338787651243623,4.822887233993141,0.48240813135261923,0.7645355620754429,0.898799005280709,0.15099772360504782,severity_cost,486702,0.04693220903139909,4.364177706325823,5.243467817758516,0.43652379208151576,0.5244917636365676,4.664599605973106,4.445732762291085,4.488724463728625,3.021144110110776
louo_cost,1,0.4151310437519895,severity_cost,75,M1,logreg,rule_upm_count_prevyear,4.664599605973106,False,True,False,28273,5116,0.18095002299013194,0.9398868458274399,0.8380480905233381,0.46325254104769353,5.194179200953715,4.6313787457713715,0.46325254104769353,0.7342067707565314,0.8871402488901693,0.15076645100604993,severity_cost,486702,0.04693220903139909,4.254835971943335,5.02286186721886,0.4255160713243037,0.5023779531112764,4.664599605973106,4.445732762291085,4.488724463728625,3.021144110110776
louo_cost,2,0.3550948389942655,severity_cost,75,M1,gbdt,rule_upm_count_prevyear,4.470592067832694,True,True,True,15869,2060,0.12981284264919024,0.716624685138539,0.5872715816005041,0.4524271844660194,5.520445207991979,4.523986761368155,0.4524271844660194,0.5376515137575745,0.8418814906839286,0.13666280456309163,severity_cost,499106,0.048913457261583713,4.223628417875261,4.798763967569636,0.4224607459037553,0.4801001994048913,4.470592067832694,3.994893889062223,4.038580456500327,2.873605324817541
louo_cost,2,0.3550948389942655,severity_cost,75,M1,logreg,rule_upm_count_prevyear,4.470592067832694,False,True,False,15869,2060,0.12981284264919024,0.6196473551637279,0.5343415248897291,0.4116504854368932,4.773390232569514,4.11624546527918,0.4116504854368932,0.45780877559491195,0.824633980090373,0.17614437159043858,severity_cost,499106,0.048913457261583713,3.809820846952022,4.50347070372485,0.3810392592710413,0.4504817659721505,4.470592067832694,3.994893889062223,4.038580456500327,2.873605324817541
louo_cost,3,0.132751884154584,severity_cost,75,M1,gbdt,rule_upm_count_prevyear,6.736963900559863,False,True,False,108006,5103,0.047247375145825235,0.2934641733012405,0.23136746597537264,0.4897119341563786,6.21122702362802,4.896937983565764,0.4897119341563786,0.2670192070898108,0.8418087794721165,0.0577740255722669,severity_cost,406969,0.05423754634873909,4.497743011407812,5.192463122480209,0.4497976364041985,0.5192675373498908,6.736963900559863,6.358769010272471,6.456746961124127,3.2352319371216796
louo_cost,3,0.132751884154584,severity_cost,75,M1,logreg,rule_upm_count_prevyear,6.736963900559863,False,True,False,108006,5103,0.047247375145825235,0.28161451583040176,0.2280344412554393,0.4826572604350382,5.960426689550925,4.826393858952573,0.4826572604350382,0.22268644568776727,0.8368062515353689,0.1825432510827109,severity_cost,406969,0.05423754634873909,4.463705039944322,5.17860620887551,0.44637960685688927,0.5178778392432837,6.736963900559863,6.358769010272471,6.456746961124127,3.2352319371216796
louo_cost,4,0.48951856126894294,severity_cost,75,M1,gbdt,rule_upm_labour_prevyear,3.5202776596174714,True,True,True,26857,6797,0.2530811334102841,0.9702159344750558,0.9300074460163812,0.36751508018243345,3.8336162060021444,3.6747403233282254,0.36751508018243345,0.7937886830465429,0.8955561189023777,0.1627647051130394,severity_cost,488118,0.04603190212202787,3.2780810268014,4.10595551608926,0.3278626038527719,0.41073431573517966,3.320211733287352,3.354046412004946,3.5202776596174714,2.4155018458386497
louo_cost,4,0.48951856126894294,severity_cost,75,M1,logreg,rule_upm_labour_prevyear,3.5202776596174714,False,True,False,26857,6797,0.2530811334102841,0.9009679821295606,0.8544303797468354,0.337648962777696,3.5599966302859514,3.376112506820768,0.337648962777696,0.7118276645377857,0.8571966900534236,0.22267327189884578,severity_cost,488118,0.04603190212202787,3.0557555911439236,3.7603375904370986,0.3056177928632865,0.3760984244475807,3.320211733287352,3.354046412004946,3.5202776596174714,2.4155018458386497
louo_cost,5,0.2251993171513709,severity_cost,75,M1,gbdt,rule_upm_cost_prevyear,7.1273543027046165,False,True,False,163433,2726,0.01667961794741576,0.17327459618208516,0.10713411649534997,0.6423330887747616,10.388403183355363,6.423055781799167,0.6423330887747616,0.27860415250428827,0.8647435729485523,0.054765929087153574,severity_cost,351542,0.04759033060061102,5.977113468786447,6.917748856004763,0.5977221281699087,0.6917913640778944,6.690835948601761,7.1273543027046165,6.962284336867402,3.6242028054926205
louo_cost,5,0.2251993171513709,severity_cost,75,M1,logreg,rule_upm_cost_prevyear,7.1273543027046165,False,True,False,163433,2726,0.01667961794741576,0.18612334801762115,0.11337493881546745,0.6797505502567865,11.158729690595699,6.797214371030187,0.6797505502567865,0.3156703127669327,0.900173326647725,0.08766723021599127,severity_cost,351542,0.04759033060061102,6.343481928407722,7.186944036949607,0.6343706926087088,0.7187061026685814,6.690835948601761,7.1273543027046165,6.962284336867402,3.6242028054926205
