age_band,n_cells,n_pos,base_rate,lift_top10,capture_top10,pr_auc
<1960,43177,5089,0.11786367742084906,5.578311565937339,0.5578699155040283,0.670887143619598
1960-1979,38890,3747,0.09634867575212137,7.034961302375232,0.7034961302375233,0.7559132909749727
1980-1999,21154,2072,0.09794837855724686,6.4605227864915955,0.6462355212355212,0.6989585693683783
>=2000,22552,2411,0.1069084781837531,6.235863403843495,0.6238075487349647,0.7108049049684326
unknown,389202,22261,0.057196520058992506,6.6554492004730434,0.6655586002425767,0.5442549055316384
