held_out_university,target_kind,pctl,model,frac,aug_rows,n,n_pos,base_rate,prec_top5,prec_top10,recall_top10,lift_top5,lift_top10,capture_top10,pr_auc,roc_auc,brier,layer,target,n_train,train_base_rate,lift_top10_ci_lo,lift_top10_ci_hi
1,severity_labour,75,gbdt,0.0,0,22542,2473,0.10970632596930174,0.9113475177304965,0.7290465631929046,0.6647796198948646,8.307155578115994,6.645437779011102,0.6647796198948646,0.7731333537168754,0.9391795434743261,0.10561617479422514,M1,severity_labour,486702,0.06684788638633085,6.065265022154467,7.238582013774626
1,severity_labour,75,gbdt,0.05,2069,22542,2473,0.10970632596930174,0.9140070921985816,0.729490022172949,0.6651839870602507,8.331398250036566,6.649480016102959,0.6651839870602507,0.7737532873825032,0.9395836688535754,0.10892412124467848,M1,severity_labour,488771,0.06727485877844634,6.081439025110122,7.204650290866743
1,severity_labour,75,gbdt,0.1,3202,22542,2471,0.10961760269718747,0.9095744680851063,0.7277161862527716,0.6641036017806556,8.297704435279023,6.63867999615944,0.6641036017806556,0.7734749979047617,0.9398418798211714,0.10998946665141905,M1,severity_labour,489904,0.06738871289068879,6.06779417673432,7.185658838727628
1,severity_labour,75,gbdt,0.2,4437,22542,2471,0.10961760269718747,0.9113475177304965,0.7250554323725056,0.6616754350465399,8.313879297725963,6.6144069431570305,0.6616754350465399,0.7720618445852876,0.9392396974552562,0.1096867691345871,M1,severity_labour,491139,0.06752670832493449,6.054604317027705,7.195462765133705
1,severity_labour,75,logreg,0.0,0,22542,2473,0.10970632596930174,0.8945035460992907,0.7215077605321508,0.6579053780832996,8.153618655952371,6.576719748449553,0.6579053780832996,0.7534282865102985,0.9348834672422198,0.12460170151523756,M1,severity_labour,486702,0.06684788638633085,5.9837671990024255,7.1069683655385525
1,severity_labour,75,logreg,0.05,2069,22542,2473,0.10970632596930174,0.8962765957446809,0.720620842572062,0.6570966437525273,8.169780437232752,6.568635274265841,0.6570966437525273,0.7532102974683119,0.9348662198311096,0.12828781365545827,M1,severity_labour,488771,0.06727485877844634,5.990409648009507,7.113563465521294
1,severity_labour,75,logreg,0.1,3202,22542,2471,0.10961760269718747,0.8936170212765957,0.7197339246119734,0.6568191015783084,8.152130673256584,6.565860837152208,0.6568191015783084,0.7530314962491197,0.9349153080421243,0.1285380650091995,M1,severity_labour,489904,0.06738871289068879,5.978997104819178,7.122135368395472
1,severity_labour,75,logreg,0.2,4437,22542,2471,0.10961760269718747,0.8936170212765957,0.7197339246119734,0.6568191015783084,8.152130673256584,6.565860837152208,0.6568191015783084,0.7528790821555837,0.9349549891087772,0.1284827264297055,M1,severity_labour,491139,0.06752670832493449,5.984822617209117,7.120499272048832
1,occurrence,75,gbdt,0.0,0,22542,8500,0.3770739064856712,0.9955673758865248,0.9915742793791574,0.2630588235294118,2.6402446808510636,2.6296549889135257,0.2630588235294118,0.8755520247618652,0.9025517941972402,0.1301456659583334,M1,occurrence,486702,0.2837259760592724,2.4634515721412993,2.8613703710128346
1,occurrence,75,gbdt,0.05,2069,22542,8500,0.3770739064856712,0.9955673758865248,0.9915742793791574,0.2630588235294118,2.6402446808510636,2.6296549889135257,0.2630588235294118,0.875014097395057,0.902059305277445,0.1321567912770395,M1,occurrence,488771,0.28467932835622406,2.465003704942256,2.8581924922167916
1,occurrence,75,gbdt,0.1,3202,22542,8500,0.3770739064856712,0.9955673758865248,0.991130820399113,0.26294117647058823,2.6402446808510636,2.628478935698448,0.26294117647058823,0.8755621076216383,0.9024212237237866,0.13313837351154692,M1,occurrence,489904,0.28511708416342796,2.464007879903264,2.855987711737722
1,occurrence,75,gbdt,0.2,4437,22542,8500,0.3770739064856712,0.9955673758865248,0.991130820399113,0.26294117647058823,2.6402446808510636,2.628478935698448,0.26294117647058823,0.8756364075882406,0.9023322888477425,0.13295432312939662,M1,occurrence,491139,0.28552202126078363,2.4656026690153205,2.855988864948227
