target,cfg_id,held_out_university,base_rate,lift_top10,capture_top10,pr_auc,roc_auc,n,n_pos
occurrence,occurrence|pNone|M1|gbdt,1,0.39673893820959927,2.50183221718802,0.250245163590978,0.8683385396119383,0.8898605808223614,28273,11217
occurrence,occurrence|pNone|M1|gbdt,10,0.33856338171978967,2.8792750078117706,0.28796179944709727,0.8457496714449741,0.8969457092102584,58763,19895
occurrence,occurrence|pNone|M1|gbdt,11,0.28115892139988524,3.3563237154634127,0.3356323715463413,0.8273750964473671,0.9060448444203851,87150,24503
occurrence,occurrence|pNone|M1|gbdt,2,0.3121179658453589,2.95963582565848,0.295982232990107,0.7651389825105214,0.851806930178489,15869,4953
occurrence,occurrence|pNone|M1|gbdt,3,0.13674240319982223,5.314990375907107,0.5315187216466924,0.693945292720595,0.8967265310654753,108006,14769
occurrence,occurrence|pNone|M1|gbdt,4,0.5471199314889973,1.8270723504084971,0.18272764393630053,0.9276077665452076,0.9044148160079701,26857,14694
occurrence,occurrence|pNone|M1|gbdt,5,0.2640592781139672,3.7121869111648,0.3712345907869126,0.8550961364677211,0.9184037492623125,163433,43156
occurrence,occurrence|pNone|M1|gbdt,6,0.612625313283208,1.6304017321984234,0.1630657120940936,0.9359087625270666,0.896144681920404,25536,15644
occurrence,occurrence|pNone|M1|gbdt,7,0.4375,2.1598951507208386,0.21638655462184875,0.8363070015897984,0.8626798758719173,1088,476
severity_p50,severity_labour|p50|M1|gbdt,1,0.20553177943621123,4.4766063338393725,0.4477714679056961,0.8032287090483086,0.9116722816872032,28273,5811
severity_p50,severity_labour|p50|M1|gbdt,10,0.15914776304817657,4.970537067045811,0.4971129170230967,0.7318474641081821,0.9064340765699841,58763,9352
severity_p50,severity_labour|p50|M1|gbdt,11,0.08495697074010328,6.200702323068611,0.6200702323068612,0.6156434079364177,0.9057028638184474,87150,7404
severity_p50,severity_labour|p50|M1|gbdt,2,0.16573193017833512,4.296307210917602,0.4296577946768061,0.6320499165011906,0.8605046818407535,15869,2630
severity_p50,severity_labour|p50|M1|gbdt,3,0.050423124641223636,6.483417617205572,0.6483657730444363,0.46748589495445125,0.893225258573325,108006,5446
severity_p50,severity_labour|p50|M1|gbdt,4,0.2462672673790818,3.8640981550225937,0.38645297853039007,0.8311764843177979,0.9139447510449878,26857,6614
severity_p50,severity_labour|p50|M1|gbdt,5,0.12983913897438093,5.568564508796041,0.556880301602262,0.7153136939482897,0.9151258405630726,163433,21220
severity_p50,severity_labour|p50|M1|gbdt,6,0.4419251253132832,2.224729051425843,0.22250775365529463,0.863139899809182,0.8799426056802301,25536,11285
severity_p50,severity_labour|p50|M1|gbdt,7,0.18290441176470587,3.109861232769352,0.31155778894472363,0.4761277955987985,0.8017477714783139,1088,199
severity_p75,severity_labour|p75|M1|gbdt,1,0.11852297244721112,6.133963262037931,0.6135481945687854,0.745496765486023,0.9225825279138294,28273,3351
severity_p75,severity_labour|p75|M1|gbdt,10,0.08079914231744464,6.427204046330856,0.6427969671440606,0.6293813893827316,0.9135133860520038,58763,4748
severity_p75,severity_labour|p75|M1|gbdt,11,0.028376362593230064,7.541447634452082,0.7541447634452082,0.48052819357264703,0.9093306234679628,87150,2473
severity_p75,severity_labour|p75|M1|gbdt,2,0.10725313504316591,4.841058038395098,0.48413631022326675,0.5168885260167333,0.8530283216395461,15869,1702
severity_p75,severity_labour|p75|M1|gbdt,3,0.021656204284947134,6.481162278966537,0.6481402308678923,0.27644618222000045,0.8763121481528889,108006,2339
severity_p75,severity_labour|p75|M1|gbdt,4,0.14372416874557845,5.473481861426934,0.5474093264248705,0.7523738303333337,0.923699379801961,26857,3860
severity_p75,severity_labour|p75|M1|gbdt,5,0.057497567810662474,6.222996206233429,0.6223262743428754,0.49622309887814403,0.8898217546764491,163433,9397
severity_p75,severity_labour|p75|M1|gbdt,6,0.2991854636591479,3.004764930895792,0.30052356020942406,0.7608056589428611,0.8682523822925712,25536,7640
severity_p75,severity_labour|p75|M1|gbdt,7,0.06433823529411764,3.9926605504587163,0.4,0.23618955173752348,0.7790064552343532,1088,70
severity_p90,severity_labour|p90|M1|gbdt,1,0.05531779436211226,7.2999829074979115,0.7301790281329923,0.6176756115715866,0.9263758856344964,28273,1564
severity_p90,severity_labour|p90|M1|gbdt,10,0.029950819393155557,7.1809627670270855,0.7181818181818181,0.40469325902190906,0.9086650244086036,58763,1760
severity_p90,severity_labour|p90|M1|gbdt,11,0.006689615605278256,7.530017152658662,0.7530017152658662,0.30174244697823227,0.8796298452020457,87150,583
severity_p90,severity_labour|p90|M1|gbdt,2,0.06736404310290503,5.341104023983454,0.5341440598690365,0.408637352586815,0.8487366318610472,15869,1069
severity_p90,severity_labour|p90|M1|gbdt,3,0.007971779345591911,6.410912397774499,0.6411149825783972,0.130883929446056,0.8661615873373589,108006,861
severity_p90,severity_labour|p90|M1|gbdt,4,0.06873440816174554,6.85188901321325,0.6852654387865655,0.6302695976051097,0.9235897960043843,26857,1846
severity_p90,severity_labour|p90|M1|gbdt,5,0.0187538624390423,6.733806200937591,0.6734094616639478,0.32761024223693536,0.8870926050345218,163433,3065
severity_p90,severity_labour|p90|M1|gbdt,6,0.16639254385964913,4.120324225719516,0.4120969639915274,0.6072310944013606,0.86742242927887,25536,4249
severity_p90,severity_labour|p90|M1|gbdt,7,0.013786764705882353,1.996330275229358,0.2,0.037853944957513874,0.7785026405716061,1088,15
