held_out_university,budget,lift,capture,precision
1,0.05,7.655520296881971,0.38287078484034615,0.9073550212164073
1,0.1,6.133963262037931,0.6135481945687854,0.727015558698727
1,0.15,4.999443693531569,0.7499253954043569,0.5925489271398255
1,0.2,4.059694916676364,0.8119964189794091,0.48116710875331564
10,0.05,9.028559078115448,0.45155855096882896,0.7294998298741069
10,0.1,6.427204046330856,0.6427969671440606,0.5193125744427429
10,0.15,4.99828401939904,0.7497893850042123,0.4038570618264322
10,0.2,4.074208427739435,0.8148694187026116,0.32919254658385094
11,0.05,12.655240154939987,0.632834613829357,0.3591096833409821
11,0.1,7.541447634452082,0.7541447634452082,0.2139988525530694
11,0.15,5.472226335249115,0.8208653457339264,0.15528187868125143
11,0.2,4.286291953093408,0.8572583906186818,0.12162937464142283
2,0.05,6.211910272993396,0.3108108108108108,0.6662468513853904
2,0.1,4.841058038395098,0.48413631022326675,0.5192186515437933
2,0.15,4.002040734743472,0.600470035252644,0.42923141537169257
2,0.2,3.3928531761810303,0.6786133960047004,0.3638941398865784
3,0.05,10.33641134497681,0.516887558785806,0.22384743566006296
3,0.1,6.481162278966537,0.6481402308678923,0.14035737431719286
3,0.15,4.839645202124792,0.7259512612227448,0.10480834516387877
3,0.2,3.8754443310574977,0.7751175716118,0.08392741412832146
4,0.05,6.3671644180725995,0.3183937823834197,0.9151154132539091
4,0.1,5.473481861426934,0.5474093264248705,0.7866716306775875
4,0.15,4.626426220780172,0.694041450777202,0.6649292628443783
4,0.2,3.9373840176852526,0.7875647668393783,0.5658972449739389
5,0.05,9.11954129401855,0.4559965946578695,0.5243514439549681
5,0.1,6.222996206233429,0.6223262743428754,0.3578071463534019
5,0.15,4.751152027963325,0.7126742577418325,0.2731796859065878
5,0.2,3.8703368021809657,0.7740768330318186,0.22253495273350263
6,0.05,3.1879823047309013,0.15942408376963352,0.9537979639780736
6,0.1,3.004764930895792,0.30052356020942406,0.898981989036805
6,0.15,2.8006084286223847,0.4201570680628272,0.8379013312451057
6,0.2,2.599723665167461,0.5200261780104712,0.7777995301487862
7,0.05,4.8041558441558445,0.24285714285714285,0.3090909090909091
7,0.1,3.9926605504587163,0.4,0.25688073394495414
7,0.15,3.601393728222997,0.5428571428571428,0.23170731707317074
7,0.2,3.137090432503277,0.6285714285714286,0.2018348623853211
