SystemCode,SystemDescription,n_upm,n_ppm,upm_lab_median,ppm_lab_median,upm_lab_mean,ppm_lab_mean,lab_premium_median,lab_premium_mean,upm_cost_mean,ppm_cost_mean,cost_premium_mean
D30,HVAC,395282,724976,2.0,0.75,3.594622953233388,2.455390256459064,2.6666666666666665,1.4639721501612617,170.21099028757166,131.17755803440002,1.2975618149785615
D20,Plumbing,331348,262360,1.0,1.0,2.656225551182845,2.7460662448543984,1.0,0.9672838578312167,132.29321051940232,163.8677127205415,0.8073171238132428
D50,Electrical,262377,526539,1.0,0.11,2.664889222378486,1.5657890254409772,9.090909090909092,1.7019465452109466,133.07043727352138,82.85366802633193,1.606089874394335
C10,Interior Construction,148771,53536,1.0,1.0,2.04270532115354,2.5824981831540144,1.0,0.7909803516913908,93.04004104160866,200.3350081379128,0.46442227899358896
E10,Equipment,77704,112468,1.0,0.75,2.6935280037063722,2.524278491067089,1.3333333333333333,1.0670486688525942,150.43481185463023,258.6143672029018,0.5816954931069361
C30,Interior Finishes,65439,45305,1.5,2.0,4.749239122949108,8.771927893904278,0.75,0.5414133791785285,198.0064272110144,634.185499733943,0.31222162489379396
D40,Fire Protection,43770,308637,1.0,0.75,2.857027263727058,3.8281898796968608,1.3333333333333333,0.7463128406664339,141.3934238711375,72.08435215816463,1.9614995437691891
E20,Furnishings,38209,25285,1.0,1.0,3.1435959241714433,3.159399775888208,1.0,0.9949978309685985,91.16077024670429,157.32044359688828,0.5794591482356296
B20,Exterior Enclosure,35031,34308,1.0,0.5,2.5027684051268877,2.3368284365162646,2.0,1.0710107622868565,78.04240622690776,153.81982723530953,0.5073624618464857
B30,Roofing,14285,19810,2.0,2.0,4.79117582545794,7.531171145885917,1.0,0.6361793846731574,185.1109823317078,330.0601441029742,0.5608401548596419
D90,General,12782,39184,1.0,1.0,2.668105669430971,10.378834633183612,1.0,0.25707179695304133,17.191447723264577,1346.59413225335,0.012766614164950302
D10,Conveying,11650,37957,0.0,0.5,2.262302995708155,2.2807692915667728,0.0,0.9919034792660102,341.269944138746,177.50707774564597,1.9225709108217062
G20,Site Improvements,9066,9206,0.5,1.0,4.941990587543201,56.78855963502065,0.5,0.0870244045509397,1041.7983588640827,2609.699366098203,0.3992024416290102
C20,Stairs,4958,2438,1.5,2.0,3.9930402043834876,8.137186218211648,0.75,0.49071510683223113,160.4917915407013,713.762674780094,0.22485315807547357
F10,Special Construction,4068,2139,1.0,2.0,2.896075057358243,5.52304347826087,0.5,0.5243621689304856,46.85634005158416,223.0942890625518,0.21002931203876066
F20,"Selective Building Demolition 
",2236,3571,0.0,0.0,2.2753980322003575,8.61362643517222,,0.2641626090155445,86.26922737092573,597.702841705938,0.14433464482902536
G40,Site Electrical Utilities,2146,1603,2.0,2.0,4.018786890338614,3.6814098565190267,1.0,1.0916434319917303,103.18386420016834,297.18207784672825,0.3472075602532985
G30,Site Mechanical Utilities,1786,1678,1.0,2.0,3.4054423292273235,6.583069129916567,0.5,0.5173031396178706,73.26284221434325,297.6001360715843,0.24617879272985518
G10,Site Preparation,398,209,0.0,0.0,2.129396984924623,1.91555023923445,,1.1116372420363336,37.304853745454224,915.8346122613252,0.04073317741654606
B10,Superstructure,365,589,1.75,0.0,3.984246575342466,3.6151952461799657,,1.1020833742112441,87.24332922937957,1538.3532696739571,0.05671215510067474
