dimension,stratum,range,rr,conditional,marginal,ci_lo,ci_hi,n_buildings,n_trigger_events
building_age,low (oldest/smallest),"[-inf, 1958)",2.2997117271713137,0.49862279098110907,0.21681969313363633,2.0283515679034867,2.6186416608826524,246,3779
building_age,mid,"[1958, 1986)",2.7593170098332993,0.4912255534834792,0.17802432693775766,2.3614255290173762,3.215573749120017,253,3797
building_age,high (newest/largest),"[1986, inf)",2.279218847941451,0.4751331463709574,0.20846315254021747,1.9679556959694975,2.7082811838095115,249,3520
n_systems,mid,"[3, 9)",5.4732935754532095,0.10987261146496816,0.020074313564638326,4.203116334561118,6.925463100023895,1187,783
n_systems,high (newest/largest),"[9, inf)",2.1078078117828243,0.40812686653823593,0.19362622353744594,1.996827963500526,2.2212107292740706,1251,30722
upm_volume,mid,"[2, 59)",2.962075386163311,0.04261264407963675,0.01438607682933811,2.3622262399122027,3.699330847398088,1297,635
upm_volume,high (newest/largest),"[59, inf)",1.9187833804073988,0.4084503271065573,0.21286943136845107,1.823863523991884,2.0181448942661837,1137,30881
