held_out_university,M0_lift,M0_capture,M0_prauc,M1_lift,M1_capture,M1_prauc,M1b_lift,M1b_capture,M1b_prauc,best_rule_lift,base_rate
1,6.0056751198844145,0.6007162041181737,0.7239644941201804,6.133963262037931,0.6135481945687854,0.745496765486023,6.160814268535179,0.6162339600119368,0.7501181620987382,5.829651855069124,0.11852297244721112
2,4.653055784476842,0.46533490011750883,0.4941047322483822,4.841058038395098,0.48413631022326675,0.5168885260167333,4.882183531439717,0.4882491186839013,0.5306680689494581,4.7529319818709155,0.10725313504316591
3,6.092121535308256,0.609234715690466,0.2303080157804488,6.481162278966537,0.6481402308678923,0.27644618222000045,6.908679579689923,0.6908935442496793,0.2953732814602021,6.989907866827367,0.021656204284947134
4,4.859560800774694,0.48601036269430054,0.6189468356338214,5.473481861426934,0.5474093264248705,0.7523738303333337,5.473481861426934,0.5474093264248705,0.7527910552896321,5.038297312103827,0.14372416874557845
5,5.905887302427415,0.5906140257528999,0.4488762267335544,6.222996206233429,0.6223262743428754,0.49622309887814403,6.187880119570346,0.6188145152708311,0.49117981897661284,6.546489853069092,0.057497567810662474
6,2.9066127663412695,0.2907068062827225,0.7338608160122003,3.004764930895792,0.30052356020942406,0.7608056589428611,3.027012754861484,0.30274869109947644,0.7681513041009491,2.8634258139372792,0.2991854636591479
7,2.8519003931847973,0.2857142857142857,0.19920179947134475,3.9926605504587163,0.4,0.23618955173752348,2.9944954128440373,0.3,0.1984138915308961,3.5648754914809966,0.06433823529411764
10,6.105001484375213,0.6105728727885426,0.5863638737255964,6.427204046330856,0.6427969671440606,0.6293813893827316,6.422992248135357,0.6423757371524853,0.6277604219970017,6.115530979863959,0.08079914231744464
11,7.444399514759401,0.7444399514759401,0.4531246488244075,7.541447634452082,0.7541447634452082,0.48052819357264703,7.581884350990699,0.75818843509907,0.4846962895415764,7.060250707642539,0.028376362593230064
