UniversityID,SystemCode,n_upm,n_ppm,upm_lab_median,ppm_lab_median,upm_lab_mean,ppm_lab_mean,lab_premium_median,lab_premium_mean,upm_cost_mean,ppm_cost_mean,cost_premium_mean
1,B20,316,972,1.0,1.5,2.9169303797468356,1.9459876543209877,0.6666666666666666,1.4989459841998012,490.05649553674834,126.85630047827507,3.8630836126320234
1,B30,279,527,1.0,1.0,2.4910394265232974,1.3766603415559773,1.0,1.8094800520713683,1082.004743123623,203.30961014412975,5.321955722390943
1,C10,7902,589,1.5,2.5,2.479182485446722,12.648981324278438,0.6,0.1959985884940934,241.82315199701335,879.1522504256268,0.27506401977579964
1,C20,309,462,2.0,1.0,6.053398058252427,1.1677489177489178,2.0,5.183818170366305,665.1982675362515,73.3899685168764,9.063885446187182
1,C30,5131,140,2.0,14.25,5.2824498148509065,60.41607142857143,0.14035087719298245,0.08743451353165571,589.1913726625737,2567.4131275865566,0.2294883384102779
1,D10,487,768,0.0,0.0,2.064681724845996,0.6341145833333334,,3.2560073196749997,657.4348746377832,1419.564328093685,0.4631243978359503
1,D20,18297,12235,2.0,1.0,3.5587451494780566,4.335737637923988,2.0,0.8207934719920077,355.5160499202943,283.7400806970797,1.2529638006970276
1,D30,19136,12501,2.0,2.0,3.93090614548495,12.003099752019839,1.0,0.32749091707110667,425.1489315674397,903.2067034059265,0.4707105582412466
1,D40,1361,16332,2.0,1.5,4.144930198383541,2.1451567474895907,1.3333333333333333,1.932227191898318,564.3950504224621,226.09076756711042,2.4963206436765843
1,D50,20734,11067,2.0,1.5,3.122781421819234,2.312776723592663,1.3333333333333333,1.3502303918764416,286.2219529346225,194.0528344774399,1.4749691943711236
1,E10,1932,1855,1.0,0.0,2.862474120082816,8.775606469002696,,0.3261853331953389,338.1481196739038,811.6337188456765,0.41662650506293103
1,E20,1122,258,2.0,1.0,4.077094474153298,3.2674418604651163,2.0,1.2477940383529667,307.21969358315505,243.43187777166503,1.2620355903893652
10,B20,2338,15001,1.5,0.5,2.311197604790419,0.7386547563495768,3.0,3.1289280748862036,0.0,0.0,
10,B30,296,1512,1.5,1.0,3.162331081081081,1.759755291005291,1.5,1.797028880802253,0.0,0.0,
10,C10,12170,2235,1.25,1.75,2.0079268693508627,3.3911633109619688,0.7142857142857143,0.5921056243030878,0.0,0.0,
10,C30,5088,717,1.75,2.5,3.397975628930818,8.707461645746164,0.7,0.3902372203489203,0.0,0.0,
10,D10,263,8991,1.0,6.0,2.185361216730038,7.717739962184407,0.16666666666666666,0.28316077341785684,0.0,0.0,
10,D20,22637,55624,1.5,0.5,2.7307041569112513,1.4373189630375376,3.0,1.899859549017816,0.0,0.0,
10,D30,22416,201549,2.0,0.75,4.150036581013562,1.2214738847625144,2.6666666666666665,3.3975647230644106,0.0,0.0,
10,D40,6790,198819,1.5,0.83,3.312664212076583,4.727418858358608,1.8072289156626506,0.7007342296778759,0.0,0.0,
10,D50,35036,348175,1.25,0.08,2.195830859687179,0.6526491850362605,15.625,3.364488779014075,0.0,0.0,
10,E10,6712,19353,1.0,0.5,2.3282553635280094,0.8450400454709863,2.0,2.7552012191686694,0.0,0.0,
10,E20,1173,226,1.5,2.375,2.9901960784313726,4.510398230088495,0.631578947368421,0.6629561129400994,0.0,0.0,
10,F10,241,99,1.0,2.0,3.6483402489626555,7.0,0.5,0.5211914641375223,0.0,0.0,
10,G20,63,92,1.5,6.625,2.9126984126984126,9.766304347826088,0.22641509433962265,0.29823957035977067,0.0,0.0,
11,B20,2650,2999,1.0,1.5,1.4694264150943397,5.985098366122041,0.6666666666666666,0.24551416287689748,84.37407150683224,425.9286361845024,0.1980943856291535
11,B30,2170,3124,2.0,4.0,2.864073732718894,9.36193661971831,0.5,0.3059274858458794,118.63915050115395,478.49665172093114,0.24794144342382293
11,C10,13527,20708,0.75,0.5,1.0826458194721666,1.420022696542399,1.5,0.7624144473946026,65.23489215435694,113.15567114462027,0.5765057243218727
11,C20,187,519,2.0,4.0,2.73524064171123,13.868709055876685,0.5,0.197223882243907,164.05931757327104,835.1964569907208,0.19643200854130752
11,C30,5294,22607,1.0,2.0,2.2366037023044956,9.06409430707303,0.5,0.24675424003026925,104.50816403333168,525.2187541028493,0.1989802595907813
11,D10,1279,13501,1.0,0.5,0.8861767005473027,0.7319591141396934,2.0,1.210691531027479,48.76188070354768,116.80868292664135,0.4174508219921571
11,D20,32756,34906,1.0,1.0,1.863544388814263,3.7287480662350316,1.0,0.4997775005743173,98.56908265516061,223.2327544199054,0.44155295629130725
11,D30,27248,163846,1.0,0.5,2.1961498091603056,1.76561154987,2.0,1.2438465353956285,122.5874635108846,105.7066948138176,1.1596944141220127
11,D40,3903,6663,1.0,1.0,1.2119139123750962,3.0282110160588327,1.0,0.40020788047735933,80.99351913125669,296.73232520216317,0.27295145237741103
11,D50,20142,32633,1.0,1.0,1.6305495978552278,6.0036993227714275,1.0,0.2715908159608722,92.9395250074331,341.84279514966425,0.2718779694237601
11,E10,10966,19667,1.0,0.5,2.3978725150465072,2.2366202267758175,2.0,1.0720964097258217,151.88217793075012,186.0274400132183,0.8164504006503451
11,E20,556,3012,1.0,1.5,1.6096402877697842,6.268027888446215,0.6666666666666666,0.2568017112267187,70.23240288318132,345.87993498488106,0.20305428496813868
11,F10,523,884,1.0,2.5,1.768795411089866,7.427409502262443,0.4,0.238144323475241,82.36965998916783,348.342192358109,0.23646190957105961
11,F20,462,880,3.0,6.5,7.0311471861471855,26.007340909090907,0.46153846153846156,0.27035240591203374,342.7130788144924,1557.4821456852767,0.22004302249237154
11,G20,1122,6819,0.5,2.0,1.3836096256684491,60.84736324974336,0.25,0.022739023546337233,60.396971778421694,1890.1378187105,0.03195373965884987
11,G30,226,881,0.5,4.0,1.9413716814159292,8.750703745743472,0.125,0.22185320607616885,91.27962033722648,332.0833676570229,0.27486959368438
12,B10,309,230,1.5,2.0,3.292071197411003,3.9254347826086957,0.75,0.8386513544935822,0.0,0.0,
12,B20,15387,2526,1.0,1.0,1.7178884772860206,3.9679532858273956,1.0,0.4329407010465365,0.0,0.0,
12,B30,6455,391,1.5,1.5,2.9590188484379034,3.3306905370843993,1.0,0.8884100205323044,0.0,0.0,
12,C10,34597,9893,1.0,0.25,1.131801408599975,0.9975268708514438,4.0,1.1346074393303516,0.0,0.0,
12,C20,3131,398,1.0,1.5,3.1374108378579795,3.5976130653266334,0.6666666666666666,0.8720812329975037,0.0,0.0,
12,C30,19470,10645,1.0,1.0,2.3357147748673173,2.8660576170346017,1.0,0.8149573689603598,0.0,0.0,
12,D10,1018,833,0.0,0.0,0.5388015717092338,0.3262905162064826,,1.651294000124326,0.0,0.0,
12,D20,78938,10186,1.0,0.5,1.5756940045774321,1.8575692126448062,2.0,0.84825587862428,0.0,0.0,
12,D30,119662,19213,1.0,1.0,1.9059392288278652,2.6692820833116464,1.0,0.7140269066142536,0.0,0.0,
12,D40,12256,1450,1.0,1.0,2.0799513163620538,2.2136896551724137,1.0,0.9395857777544054,0.0,0.0,
12,D50,51207,18848,1.0,0.5,1.8416476263010917,1.9271443477645727,2.0,0.9556355383743546,0.0,0.0,
12,D90,12475,2546,1.0,2.0,2.345019372077488,4.88981408745745,0.5,0.47957229664263673,0.0,0.0,
12,E10,20420,7365,1.0,1.0,1.6173408423114592,1.6263792713283547,1.0,0.9944426068530047,0.0,0.0,
12,E20,12355,15233,1.0,0.5,1.871393497909079,1.57746230770914,2.0,1.1863316725626227,0.0,0.0,
12,F10,2731,967,1.0,1.0,2.9566764310997193,2.799844881075491,1.0,1.0560143710404362,0.0,0.0,
12,F20,1554,2403,0.0,0.0,1.023101673101673,0.5867873491468998,,1.7435646398803732,0.0,0.0,
12,G10,228,66,0.0,1.0,2.5701754385964914,1.7651515151515151,0.0,1.4560650553422183,0.0,0.0,
12,G20,4394,1526,0.0,1.0,2.2684721590047037,2.5121887287024904,0.0,0.9029863612899566,0.0,0.0,
12,G30,1308,591,0.5,0.5,2.783065749235474,2.1287648054145514,1.0,1.3073617818918728,0.0,0.0,
12,G40,1756,98,2.0,2.0,3.7254081245254365,3.3142857142857145,1.0,1.1240455548137092,0.0,0.0,
2,B20,96,506,6.005000000000001,0.0,46.61031249999999,33.83743083003953,,1.3774778804607473,3332.5568181276867,3807.2071593436362,0.875328470096232
2,B30,589,589,3.5,9.4,9.843921901528013,17.810797962648557,0.3723404255319149,0.5526940411188725,778.4899680875315,1058.1347798336901,0.7357191001791745
2,C10,3211,413,1.48,1.5,4.317374649641857,4.111065375302664,0.9866666666666667,1.050183895293566,413.1641531833708,279.9083417482896,1.4760694540318944
2,C30,790,1267,4.23,0.0,18.93720253164557,1.7102683504340965,,11.072649813603212,2110.558126066378,2385.892184620454,0.8845991196379748
2,D10,801,683,1.5,0.63,22.795518102372032,3.0236163982430457,2.380952380952381,7.539156791059205,2950.521522617884,4071.998461999366,0.7245880739279963
2,D20,10440,5543,1.5,1.0,7.94294348659004,5.328379938661374,1.5,1.4906863958701697,817.7689273042519,865.7079288071167,0.9446245091356373
2,D30,10225,9807,3.51,1.5,13.01911491442543,4.635166717650658,2.34,2.808769502259498,1499.0615337839124,520.0758301245114,2.882390311091792
2,D40,787,1249,2.0,1.0,6.843595933926302,5.712706164931945,2.0,1.197960430021142,500.7504691236954,603.6416055207096,0.8295492963771791
2,D50,4663,4534,1.97,1.33,14.187014797340769,3.3145456550507277,1.481203007518797,4.280229109447474,1183.8387661485451,423.0174495963088,2.7985577599181743
2,E10,2051,5629,1.5,1.0,8.55887372013652,4.210502753597441,1.5,2.032743883809087,1368.2858344825902,950.1850430279934,1.4400203881574667
