lag_quarters,rr,conditional,marginal,n_buildings
1,3.3738450827029256,0.2281419628427865,0.06762075828923735,3400
2,3.292817557996467,0.2232751894415277,0.06780672949805962,3342
3,3.240003870883451,0.21954963463183202,0.06776215195445662,3261
4,3.2433867477562663,0.21861098984082783,0.06740207284624941,3213
5,3.1547359580276417,0.21073256906128898,0.06679879770129483,3164
6,3.113301762898781,0.20602382423481422,0.06617534692267876,3114
7,3.0562149635130154,0.1998112425104746,0.0653786611530749,3075
8,3.051934624053429,0.197304458816181,0.06464897945753863,3023
