A,B,elig,cooc,P_B_given_A,baseline_B,risk_ratio,A_desc,B_desc
E10,G20,740,91,0.12297297297297298,0.06396951516134262,1.9223683759805437,Equipment,Site Improvements
B30,C30,778,273,0.3508997429305913,0.18384975296927658,1.9086223248242857,Roofing,Interior Finishes
C10,D10,3092,382,0.12354463130659767,0.06516359637063514,1.8959148694603194,Interior Construction,Conveying
B30,D50,832,292,0.35096153846153844,0.1854877868558279,1.8921005226846905,Roofing,Electrical
C10,C20,1976,202,0.10222672064777327,0.05426743953627823,1.8837579499109014,Interior Construction,Stairs
C20,E10,190,65,0.34210526315789475,0.18214955586226422,1.878155900729091,Stairs,Equipment
C30,D10,1456,176,0.12087912087912088,0.06516359637063514,1.8550099689340196,Interior Finishes,Conveying
B30,E10,667,225,0.3373313343328336,0.18214955586226422,1.8519470593050085,Roofing,Equipment
C10,B30,3566,437,0.12254627033090297,0.06683933715675133,1.8334453264177049,Interior Construction,Roofing
C30,G40,84,1,0.011904761904761904,0.006645817044566067,1.791316526610644,Interior Finishes,Site Electrical Utilities
E10,D10,1621,189,0.11659469463294263,0.06516359637063514,1.7892611999156638,Equipment,Conveying
B20,C20,382,37,0.0968586387434555,0.05426743953627823,1.784838930510158,Exterior Enclosure,Stairs
D20,D10,4078,474,0.11623344776851398,0.06516359637063514,1.7837175085826387,Plumbing,Conveying
B20,D10,754,86,0.11405835543766578,0.06516359637063514,1.7503385600286516,Exterior Enclosure,Conveying
G20,C30,251,80,0.3187250996015936,0.18384975296927658,1.7336172306680024,Site Improvements,Interior Finishes
E20,B30,763,88,0.11533420707732635,0.06683933715675133,1.725543848629813,Furnishings,Roofing
C20,G20,109,12,0.11009174311926606,0.06396951516134262,1.721003244148324,Stairs,Site Improvements
G20,C20,121,11,0.09090909090909091,0.05426743953627823,1.6752050895697306,Site Improvements,Stairs
B30,C10,824,299,0.3628640776699029,0.2174002047082907,1.669106421297058,Roofing,Interior Construction
E10,C20,989,89,0.08998988877654196,0.05426743953627823,1.6582667165710476,Equipment,Stairs
G20,D40,281,62,0.2206405693950178,0.13421561338289964,1.6439262454924601,Site Improvements,Fire Protection
C10,F20,483,30,0.062111801242236024,0.039051269765213226,1.5905193765956636,Interior Construction,Selective Building Demolition
B30,C20,144,12,0.08333333333333333,0.05426743953627823,1.5356046654389195,Roofing,Stairs
D30,D10,4112,411,0.09995136186770429,0.06516359637063514,1.5338527557503818,HVAC,Conveying
D10,C20,123,10,0.08130081300813008,0.05426743953627823,1.4981508931111411,Conveying,Stairs
G20,B20,249,43,0.17269076305220885,0.11629477475449507,1.4849400019628478,Site Improvements,Exterior Enclosure
D50,B30,3507,348,0.09923011120615911,0.06683933715675133,1.4846064522370273,Electrical,Roofing
B30,D10,601,58,0.09650582362728785,0.06516359637063514,1.4809775549892232,Roofing,Conveying
