held_out_university,evaluable,n_test,n_pos,base_rate,lift_top10,capture_top10,pr_auc,best_rule_lift,meets_2x,beats_rule
1,True,16881,2008,0.11895029915289379,6.440789240904941,0.6444223107569721,0.786128028952863,6.20187279301975,True,True
2,True,15087,1804,0.1195731424405117,4.710814933018297,0.47117516629711753,0.5577494350932394,4.81057336689398,True,False
3,True,29773,900,0.03022873072918416,6.909486605477204,0.6911111111111111,0.3263040135271155,7.06500559659727,True,False
4,True,15421,2255,0.14622916801763827,5.540003994867027,0.5543237250554324,0.7717615363845923,5.256355790329836,True,True
5,True,33025,2350,0.07115821347464042,7.07552450705677,0.7076595744680851,0.6338952838712281,7.092543207013612,True,False
6,True,25536,7690,0.3011434837092732,2.9904288436100135,0.29908972691807545,0.7622973463994522,2.8656109440506388,True,True
7,True,1071,89,0.08309990662931839,2.3398876404494384,0.23595505617977527,0.2029947817769659,3.008426966292135,True,False
10,True,33350,3444,0.10326836581709145,5.7926829268292686,0.5792682926829268,0.6283831476087165,6.06562137049942,True,False
11,True,46138,1569,0.03400667562529802,7.711584135958867,0.7711918419375399,0.5624632994835678,7.558627095245632,True,True
