university,n_events,n_cells,events_per_cell_median,ppm_to_upm_ratio,median_gap_days,labour_median,subsystem_present,component_present,span_quarters
10,974372,3348,19.0,7.441017733230532,0.0,0.51,1.0,1.0,47
11,464517,4904,9.0,2.7752104938070934,0.0,1.0,0.9999978472262586,0.9999978472262586,26
5,463933,4070,8.0,1.0149623877278018,0.7492708333333333,1.5,1.0,1.0,71
6,298117,2469,26.0,1.1095771179484277,0.0,1.0,1.0,1.0,13
4,240098,1588,38.0,0.6867803373588777,1.0,1.0,1.0,1.0,27
3,202823,3155,6.0,3.6894407065732584,4.0,2.0,1.0,1.0,56
1,135660,1753,13.0,0.7816242908173986,2.825451388888889,2.0,1.0,1.0,30
2,65804,2162,6.0,0.9292834525624487,0.20277777777777778,1.6,1.0,1.0,16
7,9349,144,25.5,3.7553407934893186,0.0,1.0,1.0,1.0,15
