regime,model,n,n_pos,base_rate,prec_top5,prec_top10,recall_top10,lift_top5,lift_top10,capture_top10,pr_auc,roc_auc,brier,layer,target,pctl,n_train,train_base_rate,lift_top10_ci_lo,lift_top10_ci_hi,capture_top10_ci_lo,capture_top10_ci_hi,pr_auc_ci_lo,pr_auc_ci_hi
temporal,gbdt,107531,7080,0.0658414782713822,0.6445973591221871,0.46419936767714337,0.7050847457627119,9.790141048554789,7.050257373685156,0.7050847457627119,0.5984148974791903,0.9272626288770978,0.10116012050896067,M1,severity_labour,75,407444,0.06718223854075651,5.219925840906149,7.514564987470293,0.5220342861482723,0.7514619406104255,0.5057727832640524,0.6725823115133304
temporal,logreg,107531,7080,0.0658414782713822,0.607773851590106,0.44801934164031987,0.6805084745762712,9.230865824199956,6.804515229650457,0.6805084745762712,0.5532516058945858,0.9184786591286855,0.1339690366544432,M1,severity_labour,75,407444,0.06718223854075651,4.9255183411327295,7.382915726155071,0.49259117938274244,0.7383667067200108,0.46686248939934244,0.6351868856614401
