campus,model,frac,aug_rows,n,n_pos,base_rate,prec_top5,prec_top10,recall_top10,lift_top5,lift_top10,capture_top10,pr_auc,roc_auc,brier,layer,target,pctl,n_train,train_base_rate
11,gbdt,0.0,0,69112,1711,0.024756916309758074,0.3263888888888889,0.19053819444444445,0.7697253068381064,13.183745697772583,7.696362182609261,0.7697253068381064,0.4785036288601981,0.9123812615495606,0.06432174502612392,M1,severity_labour,75,427825,0.06861450359375913
11,gbdt,0.05,6000,69112,1734,0.025089709457113092,0.3315972222222222,0.19502314814814814,0.7773933102652826,13.216463219274637,7.773033341877055,0.7773933102652826,0.4815347994748516,0.9172933921356702,0.0636358431610623,M1,severity_labour,75,433825,0.06949345934420562
11,gbdt,0.1,8745,69112,1743,0.02521993286259984,0.3370949074074074,0.19675925925925927,0.7802639127940333,13.366209547183441,7.8017360447079325,0.7802639127940333,0.49128974445519336,0.9161893139084392,0.06143258618363306,M1,severity_labour,75,436570,0.06947568545708592
11,gbdt,0.2,18038,69112,1798,0.02601574256279662,0.3463541666666667,0.20240162037037038,0.7780867630700778,13.313253151649983,7.779967067317596,0.7780867630700778,0.4972561165907778,0.9195832644664358,0.0590827416793596,M1,severity_labour,75,445863,0.06983535301202387
11,logreg,0.0,0,69112,1711,0.024756916309758074,0.3214699074074074,0.18952546296296297,0.7656341320864991,12.98505449488062,7.655455170249151,0.7656341320864991,0.404574612486196,0.9138620575367588,0.12367194773745385,M1,severity_labour,75,427825,0.06861450359375913
11,logreg,0.05,6000,69112,1734,0.025089709457113092,0.32407407407407407,0.1918402777777778,0.7647058823529411,12.916613268401042,7.646173747276689,0.7647058823529411,0.40738557954445015,0.9146937086135227,0.12260051768264996,M1,severity_labour,75,433825,0.06949345934420562
11,logreg,0.1,8745,69112,1743,0.02521993286259984,0.32523148148148145,0.19227430555555555,0.7624784853700516,12.895810756252521,7.62390235545356,0.7624784853700516,0.40735864827778695,0.9150514433711078,0.12141142280096236,M1,severity_labour,75,436570,0.06947568545708592
11,logreg,0.2,18038,69112,1798,0.02601574256279662,0.3333333333333333,0.19892939814814814,0.7647385984427141,12.812754912866147,7.646500870308573,0.7647385984427141,0.4137080948358777,0.9159384167828275,0.11916171832003995,M1,severity_labour,75,445863,0.06983535301202387
5,gbdt,0.0,0,129370,7257,0.05609492154286156,0.54614314422631,0.3626033856380923,0.6464103624087089,9.736053268369536,6.464103624087088,0.6464103624087089,0.5259797436539241,0.897120234534155,0.05209359555545999,M1,severity_labour,75,351542,0.07074830318994602
5,gbdt,0.05,8651,129370,7328,0.05664373502357579,0.5639202349667646,0.3706423436654557,0.6543395196506551,9.955562335923899,6.543395196506551,0.6543395196506551,0.5401210104954097,0.8945675508910993,0.05247857456532614,M1,severity_labour,75,360193,0.07170877834938491
5,gbdt,0.1,17546,129370,7385,0.057084331761613975,0.5645385685577369,0.37628507381927806,0.6591740013540961,9.889553773096063,6.591740013540962,0.6591740013540961,0.5468693690989427,0.904290266328793,0.05319811591181165,M1,severity_labour,75,369088,0.07193406450494191
5,gbdt,0.2,34063,129370,7417,0.05733168431630208,0.5614469006028753,0.37651696683929814,0.6567345287852231,9.792960163272747,6.567345287852231,0.6567345287852231,0.5448893298970625,0.906928628641132,0.057235655000679786,M1,severity_labour,75,385605,0.07166660183348245
5,logreg,0.0,0,129370,7257,0.05609492154286156,0.5943731643221518,0.39282677591404497,0.7002893757751136,10.59584625442425,7.002893757751137,0.7002893757751136,0.5878521260115148,0.9254901470308359,0.07157712687661334,M1,severity_labour,75,351542,0.07074830318994602
5,logreg,0.05,8651,129370,7328,0.05664373502357579,0.6034935847889936,0.3993197804746077,0.704967248908297,10.654198289322068,7.04967248908297,0.704967248908297,0.5950245471086526,0.9271811728060331,0.07068876685995769,M1,severity_labour,75,360193,0.07170877834938491
5,logreg,0.1,17546,129370,7385,0.057084331761613975,0.6110681712784047,0.4060446780551905,0.7113067027758971,10.704656644317836,7.11306702775897,0.7113067027758971,0.6008197751237689,0.9286729460976547,0.07050732470818884,M1,severity_labour,75,369088,0.07193406450494191
5,logreg,0.2,34063,129370,7417,0.05733168431630208,0.6130777554490647,0.4073587385019711,0.7105298638263449,10.693524231150802,7.105298638263448,0.7105298638263449,0.6026624808097627,0.9293919104655415,0.07240266267694549,M1,severity_labour,75,385605,0.07166660183348245
